Название продукта,Категория продукта,Цена продукта,Город
Plaza Del Sol Нут вареный 540 гр,Антипасти,1 700 Т,Астана
Alicos  Миндальная паста 90 гр,Антипасти,2 600 Т,Астана
Le Bonta Брускетта из артишоков 580 мл,Антипасти,5 500 Т,Астана
Le Bonta Брускетта из перца 212 мл,Антипасти,2 700 Т,Астана
Паста из Сладкого перца Alicos 190 гр,Антипасти,3 600 Т,Астана
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 800 гр,Антипасти,5 300 Т,Астана
Plaza Del Sol Лук маринованный 350 гр,Антипасти,1 700 Т,Астана
Оливки измельченные Del Casale Le Bonta 3100 мл,Антипасти,18 800 Т,Астана
Casa Marrazzo Соус пассата из желтых помидоров 2600 гр,Антипасти,4 500 Т,Астана
Alicos Соус сальса с помидорами черри и финиковыми помидорами 330 гр,Антипасти,2 000 Т,Астана
Alicos  Паста из артишоков 190 гр,Антипасти,990 Т,Астана
Alicos Песто Капулиато пикантная из вяленых помидор 190 гр,Антипасти,3 600 Т,Астана
Le Bonta Соус для пасты с овощами 314 мл,Антипасти,2 900 Т,Астана
Plaza Del Sol Перец Пикильо целиком 290 гр,Антипасти,2 200 Т,Астана
Alicos Соус из помидоров черри и перца 330 гр,Антипасти,2 000 Т,Астана
Перец на гриле в масле Le Bonta 1700 мл,Антипасти,10 800 Т,Астана
Plaza Del Sol Перец Пикильо нарезанный 280 гр,Антипасти,2 200 Т,Астана
Alicos Соус Пассата с помидорами черри 660 гр,Антипасти,2 500 Т,Астана
Plaza Del Sol Перец Пикильо с тунцом 225 гр,Антипасти,3 500 Т,Астана
Le Bonta Артишоки сердцевина в рассоле ж/б 2650 мл,Антипасти,12 800 Т,Астана
Артишоки со стеблями alla PugLiese ж/б Le Bonta  2650 мл,Антипасти,16 800 Т,Астана
Alicos  Артишоки Нонна Пеппа-банка 190 гр,Антипасти,3 600 Т,Астана
Le Bonta  Каперсы в уксусе 1700 мл,Антипасти,10 800 Т,Астана
Casa Marrazzo Соус из томатов Черри Пьенноло Дель Везувио 1000 гр,Антипасти,7 500 Т,Астана
Шампиньоны на гриле Le Bonta 1700 мл,Антипасти,16 800 Т,Астана
Le Bonta Артишок сердцевина Rustici  314 мл,Антипасти,4 800 Т,Астана
Plaza Del Sol Фасоль сливочная вареная 540 гр,Антипасти,1 700 Т,Астана
Medusa салат из морепродуктов 200 гр,Антипасти,3 990 Т,Астана
Casa Marrazzo Артишоки со стеблями на гриле в масле 750 гр,Антипасти,7 000 Т,Астана
Casa Marrazzo Баклажаны на гриле в масле 1000 гр,Антипасти,5 800 Т,Астана
Casa Marrazzo Перец на гриле 800 гр,Антипасти,5 400 Т,Астана
Грибной микс Le Bonta 3100 мл,Антипасти,21 000 Т,Астана
Чеснок маринованный с зеленью Le Bonta 1062 мл,Антипасти,7 800 Т,Астана
Артишок на гриле сердцевина Le Bonta  3100 мл,Антипасти,28 500 Т,Астана
Le Bonta Артишоки сердцевина 3100 мл,Антипасти,24 000 Т,Астана
Plaza Del Sol Фасоль белая вареная 540 гр,Антипасти,1 700 Т,Астана
Помидоры полувяленые Ciliegino Le Bonta 1700 мл,Антипасти,18 800 Т,Астана
Антипасто Рустико в масле Le Bonta 3100 мл,Антипасти,18 500 Т,Астана
Casa Marrazzo Крем из Брокколи Априлатико 300 гр,Антипасти,7 500 Т,Астана
Casa Marrazzo Эскарол с каперсами в масле 1000 гр,Антипасти,7 500 Т,Астана
Помидоры вяленые alla Pugliese Le Bonta 3100 мл,Антипасти,18 800 Т,Астана
Le Bonta Кабачки на гриле в масле 314 мл,Антипасти,4 000 Т,Астана
Medusa Сурими с королевскими креветками 1 кг,Антипасти,12 800 Т,Астана
Перец на гриле в масле Le Bonta 3100 мл,Антипасти,18 800 Т,Астана
Артишоки четвертинка в рассоле ж/б Le Bonta 2650 мл,Антипасти,12 800 Т,Астана
Le Bonta Лук на гриле Borettane 1700 мл,Антипасти,10 500 Т,Астана
Le Bonta Лук с бальзамическим уксусом Borettane 1700 мл,Антипасти,10 500 Т,Астана
Casa Marrazzo Цуккини на гриле в масле 750 гр,Антипасти,4 900 Т,Астана
Кокосовое Молоко Aroy-D 400 мл,Бакалея,2 200 Т,Астана
Том Ям Паста Aroy-D  400 гр,Бакалея,3 600 Т,Астана
Спагетти с чернилами каракатицы Le Bonta 500 гр,Бакалея,2 500 Т,Астана
"Caffe Poli Кофе в зернах Arabica 100% 1 кг, Италия",Бакалея,13 500 Т,Астана
Ореховая Заправка Sen Soy 40 гр,Бакалея,590 Т,Астана
Приправа Гималайская и Три вида перца горошек 312 гр мельница Carmencita,Бакалея,4 800 Т,Астана
4 Перца горошком микс Carmencita 145 гр мельница,Бакалея,5 690 Т,Астана
Кокосовое Молоко AROY-D 1L,Бакалея,4 500 Т,Астана
Aroy-D Кокосовое Молоко 250 мл тетра пак,Бакалея,1 700 Т,Астана
Сальса из черного трюфеля Salsa Nero Tartuffi 90 гр,Бакалея,7 500 Т,Астана
Кофе в зернах смесь Arabica 70% и Robusta 30%,Бакалея,13 000 Т,Астана
"Замороженное пюре Манго Ravifruit, Франция, 1 кг",Бакалея,8 500 Т,Астана
Сальса из Черного трюфеля Tartuffi 45 гр,Бакалея,5 800 Т,Астана
Carmencita Приправа Средиземнорский микс 190 гр мельница (216 гр),Бакалея,4 600 Т,Астана
